show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s43,movie,Jaws 2,jeannot szwarc,"roy scheider, lorraine gary, murray hamilton, joseph mascolo, jeffrey kramer, collin wilcox paxton, ann dusenberry, mark gruner, barry coe, susan french",united states,2021-09-16,1978,pg,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
s44,movie,Jaws 3,joe alves,"dennis quaid, bess armstrong, simon maccorkindale, louis gossett jr., john putch, lea thompson, p.h. moriarty, dan blasko, liz morris, lisa maurer",united states,2021-09-16,1983,pg,98 min,"Action & Adventure, Horror Movies, Thrillers","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
s45,movie,Jaws: The Revenge,joseph sargent,"lorraine gary, lance guest, mario van peebles, karen young, michael caine, judith barsi, mitchell anderson, lynn whitfield",united states,2021-09-16,1987,pg-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
s47,movie,Safe House,daniel espinosa,"denzel washington, ryan reynolds, vera farmiga, brendan gleeson, sam shepard, rubén blades, nora arnezeder, robert patrick, liam cunningham, joel kinnaman","south africa, united states, japan",2021-09-16,2012,r,115 min,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
s49,movie,Training Day,antoine fuqua,"denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, raymond j. barry, cliff curtis, dr. dre, snoop dogg, macy gray, eva mendes",united states,2021-09-16,2001,r,122 min,"Dramas, Thrillers",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
s52,movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,toshiya shinohara,"kappei yamaguchi, satsuki yukino, mieko harada, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, kenichi ogata, toshiyuki morikawa, izumi ogami",japan,2021-09-15,2002,tv-14,99 min,"Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53,movie,InuYasha the Movie 3: Swords of an Honorable Ruler,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, ken narita, akio otsuka, kikuko inoue",japan,2021-09-15,2003,tv-14,99 min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s54,movie,InuYasha the Movie 4: Fire on the Mystic Island,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, noriko hidaka, ken narita, cho, mamiko noto, nobutoshi canna",japan,2021-09-15,2004,tv-pg,88 min,"Action & Adventure, Anime Features, International Movies","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
s55,movie,InuYasha the Movie: Affections Touching Across Time,toshiya shinohara,"kappei yamaguchi, satsuki yukino, koji tsujitani, houko kuwashima, kumiko watanabe, kenichi ogata, noriko hidaka, hisako kyoda, ken narita, tomokazu seki",japan,2021-09-15,2001,tv-pg,100 min,"Action & Adventure, Anime Features, International Movies","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
s57,movie,Naruto Shippuden the Movie: Blood Prison,masahiko murata,"junko takeuchi, chie nakamura, rikiya koyama, kazuhiko inoue, masaki terasoma, mie sonozaki, yuichi nakamura, kengo kawanishi, kosei hirota, masako katsuki",japan,2021-09-15,2011,tv-14,102 min,"Action & Adventure, Anime Features, International Movies","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
s58,movie,Naruto Shippûden the Movie: Bonds,hajime kamegaki,"junko takeuchi, chie nakamura, noriaki sugiyama, unsho ishizuka, motoko kumai, kazuhiko inoue, rikiya koyama, showtaro morikubo, nana mizuki, satoshi hino, shinji kawada",japan,2021-09-15,2008,tv-pg,93 min,"Action & Adventure, Anime Features, International Movies","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
s59,movie,Naruto Shippûden the Movie: The Will of Fire,masahiko murata,"junko takeuchi, chie nakamura, kazuhiko inoue, satoshi hino, showtaro morikubo, kentaro ito, ryoka yuzuki, kohsuke toriumi, nana mizuki, shinji kawada, yoichi masukawa, koichi tochika, yukari tamura",japan,2021-09-15,2009,tv-pg,96 min,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s60,movie,Naruto Shippuden: The Movie,hajime kamegaki,"junko takeuchi, chie nakamura, yoichi masukawa, koichi tochika, ayumi fujimura, keisuke oda, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kisho taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto, masashi ebara, kazuhiko inoue, showtaro morikubo, romi park, daisuke ono, seizo kato",japan,2021-09-15,2007,tv-pg,95 min,"Action & Adventure, Anime Features, International Movies","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s61,movie,Naruto Shippuden: The Movie: The Lost Tower,masahiko murata,"junko takeuchi, chie nakamura, satoshi hino, rikiya koyama, nobuaki fukuda, kenji hamada, keiko nemoto, saori hayami, yumi toma, yuko kobayashi, fujiko takimoto, mutsumi tamura, mayuki makiguchi, toshiyuki morikawa",japan,2021-09-15,2010,tv-14,85 min,"Action & Adventure, Anime Features, International Movies","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s62,movie,Naruto the Movie 2: Legend of the Stone of Gelel,hirotsugu kawasaki,"junko takeuchi, gamon kaai, chie nakamura, showtaro morikubo, akira ishida, yasuyuki kase, urara takano, sachiko kojima, houko kuwashima, takako honda",japan,2021-09-15,2005,tv-pg,97 min,"Action & Adventure, Anime Features, International Movies","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
s63,movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,toshiyuki tsuru,"junko takeuchi, chie nakamura, yoichi masukawa, kazuhiko inoue, akio otsuka, kyousuke ikeda, marika hayashi, umeji sasaki, masashi sugawara, hisao egawa",japan,2021-09-15,2006,tv-pg,95 min,"Action & Adventure, Anime Features, International Movies","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
s64,movie,Naruto the Movie: Ninja Clash in the Land of Snow,tensai okamura,"junko takeuchi, noriaki sugiyama, chie nakamura, kazuhiko inoue, yuhko kaida, tsutomu isobe, hirotaka suzuoki, jun karasawa, harii kaneko, ikuo nishikawa",japan,2021-09-15,2004,tv-pg,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s74,movie,King of Boys,kemi adetiba,"sola sobowale, adesua etomi, remilekun ""reminisce"" safaru, tobechukwu ""illbliss"" ejiofor, toni tones, paul sambo, jide kosoko, sharon ooja",nigeria,2021-09-14,2018,tv-ma,182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
s82,movie,Kate,cedric nicolas-troyan,"mary elizabeth winstead, jun kunimura, woody harrelson, tadanobu asano, miyavi, michiel huisman, miku martineau",united states,2021-09-10,2021,r,106 min,Action & Adventure,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s85,movie,Omo Ghetto: the Saga,"jjc skillz, funke akindele","funke akindele, ayo makun, chioma chukwuka akpotha, yemi eberechi alade, blossom chukwujekwu, deyemi okanlawon, alexx ekubo, zubby michael, tina mba, femi jacobs",nigeria,2021-09-10,2020,tv-ma,147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
s91,movie,Paradise Hills,alice waddington,"emma roberts, danielle macdonald, awkwafina, eiza gonzález, milla jovovich, jeremy irvine, arnaud valois, daniel horvath","spain, united states",2021-09-09,2019,tv-ma,95 min,"Sci-Fi & Fantasy, Thrillers","Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
s95,movie,Show Dogs,raja gosnell,"will arnett, ludacris, natasha lyonne, stanley tucci, jordin sparks, gabriel iglesias, shaquille o'neal, omar chaparro, alan cumming, andy beckwith, delia sheppard, kerry shale","united kingdom, united states",2021-09-08,2018,pg,90 min,"Children & Family Movies, Comedies",A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
s97,movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,stephen kijak,"ronnie van zandt, gary rossington, allen collins, leon wilkeson, bob burns, billy powell, ed king, artimus pyle, steve gaines, johnny van zant",united states,2021-09-07,2018,tv-ma,97 min,"Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
s106,movie,Angamaly Diaries,lijo jose pellissery,"antony varghese, reshma rajan, binny rinky benjamin, vineeth vishwam, kichu tellus, sreekanth dasan, sarath kumar, tito wilson, anandhu, bitto davis, sinoj varghese",india,2021-09-05,2017,tv-14,128 min,"Action & Adventure, Comedies, Dramas","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s108,movie,A Champion Heart,david de vos,"mandy grace, david de vos, donna rusch, devan key, isabella mancuso, ariana guido",united states,2021-09-04,2018,g,90 min,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s115,movie,Anjaam,rahul rawail,"madhuri dixit, shah rukh khan, tinnu anand, johny lever, kalpana iyer, himani shivpuri, sudha chandran, beena, kiran kumar",india,2021-09-02,1994,tv-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116,movie,Bright Star,jane campion,"abbie cornish, ben whishaw, paul schneider, kerry fox, edie martin, thomas brodie-sangster, claudie blakley, gerard monaco, antonia campbell-hughes, samuel roukin","united kingdom, australia, france",2021-09-02,2009,pg,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
s117,movie,Dhanak,nagesh kukunoor,"krrish chhabria, hetal gada, vipin sharma, gulfam khan, suresh menon, vijay maurya, rajiv lakshman, ninad kamat",india,2021-09-02,2015,tv-pg,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
s119,movie,Gurgaon,shanker raman,"akshay oberoi, pankaj tripathi, ragini khanna, aamir bashir, shalini vatsa, ashish verma",india,2021-09-02,2017,tv-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s123,movie,In the Cut,jane campion,"meg ryan, mark ruffalo, jennifer jason leigh, nick damici, sharrieff pugh, kevin bacon, yaani king mondschein, heather litteer","united kingdom, australia, france, united states",2021-09-02,2003,r,118 min,Thrillers,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s127,movie,Shikara,vidhu vinod chopra,"aadil khan, sadia khateeb, zain khan durrani, priyanshu chatterjee, bhavna chauhan, ashwin dhar, farid azad khan, saghar sehrai",india,2021-09-02,2020,tv-14,115 min,"Dramas, International Movies, Romantic Movies",A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128,movie,A Cinderella Story,mark rosman,"hilary duff, chad michael murray, jennifer coolidge, dan byrd, regina king, julie gonzalo, lin shaye, madeline zima, andrea avery, mary pat gleason, paul rodriguez, whip hubley, kevin kilner, erica hubbard, simon helberg","united states, canada",2021-09-01,2004,pg,95 min,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s130,movie,An Unfinished Life,lasse hallström,"robert redford, jennifer lopez, morgan freeman, josh lucas, damian lewis, camryn manheim, becca gardner, lynda boyd, rob hayter, p. lynn johnson","germany, united states",2021-09-01,2005,pg-13,108 min,Dramas,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
s132,movie,Blade Runner: The Final Cut,ridley scott,"harrison ford, rutger hauer, sean young, edward james olmos, m. emmet walsh, daryl hannah, william sanderson, brion james, joe turkel, joanna cassidy, james hong, morgan paull",united states,2021-09-01,1982,r,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s134,movie,Chappie,neill blomkamp,"sharlto copley, hugh jackman, sigourney weaver, dev patel, ninja, yo-landi visser, jose pablo cantillo, brandon auret, johnny selema, maurice carpede","south africa, united states",2021-09-01,2015,r,121 min,"Action & Adventure, Sci-Fi & Fantasy","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135,movie,Clear and Present Danger,phillip noyce,"harrison ford, willem dafoe, anne archer, joaquim de almeida, henry czerny, harris yulin, donald moffat, miguel sandoval, benjamin bratt, dean jones, thora birch, james earl jones, raymond cruz","united states, mexico",2021-09-01,1994,pg-13,142 min,"Action & Adventure, Dramas","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
s136,movie,Cliffhanger,renny harlin,"sylvester stallone, john lithgow, michael rooker, janine turner, rex linn, caroline goodall, leon, craig fairbrass, ralph waite, max perlich, paul winfield","united states, italy, france, japan",2021-09-01,1993,r,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137,movie,Cold Mountain,anthony minghella,"jude law, nicole kidman, renée zellweger, eileen atkins, brendan gleeson, philip seymour hoffman, natalie portman, giovanni ribisi, donald sutherland, ray winstone","united states, italy, romania, united kingdom",2021-09-01,2003,r,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138,movie,Crocodile Dundee in Los Angeles,simon wincer,"paul hogan, linda kozlowski, jere burns, jonathan banks, aida turturro, alec wilson, gerry skilton, steve rackman, serge cockburn, paul rodriguez, mark adair-rios, tiriel mora, grant piro, mike tyson","australia, united states",2021-09-01,2001,pg,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
s139,movie,Dear John,lasse hallström,"channing tatum, amanda seyfried, richard jenkins, henry thomas, d.j. cotrona, cullen moss, gavin mcculley, jose lucena jr., keith robinson, scott porter",united states,2021-09-01,2010,pg-13,108 min,"Dramas, Romantic Movies","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
s140,movie,Do the Right Thing,spike lee,"danny aiello, ossie davis, ruby dee, richard edson, giancarlo esposito, spike lee, bill nunn, john turturro, paul benjamin, frankie faison, samuel l. jackson, rosie perez, martin lawrence, miguel sandoval",united states,2021-09-01,1989,r,120 min,"Classic Movies, Comedies, Dramas","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141,movie,"El patrón, radiografía de un crimen",sebastián schindel,"joaquín furriel, luis ziembrowski, guillermo pfening, mónica lairana, germán de silva, victoria raposo, andrea garrote","argentina, venezuela",2021-09-01,2014,tv-ma,100 min,"Dramas, International Movies, Thrillers",A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
s142,movie,Extraction,steven c. miller,"bruce willis, kellan lutz, gina carano, d.b. sweeney, joshua mikel, steve coulter, dan bilzerian, heather johansen","united states, united kingdom, canada",2021-09-01,2015,r,82 min,Action & Adventure,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143,movie,Freedom Writers,richard lagravenese,"hilary swank, patrick dempsey, scott glenn, imelda staunton, april l. hernandez, mario, kristin herrera, jaclyn ngan, sergio montalvo, jason finn, deance wyatt, vanetta smith","germany, united states",2021-09-01,2007,pg-13,124 min,Dramas,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
s144,movie,Green Lantern,martin campbell,"ryan reynolds, blake lively, peter sarsgaard, mark strong, tim robbins, jay o. sanders, taika waititi, angela bassett",united states,2021-09-01,2011,pg-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
s145,movie,House Party,reginald hudlin,"christopher reid, christopher martin, robin harris, tisha campbell, a.j. johnson, martin lawrence, paul anthony, bowlegged lou, b-fine, edith fields, kelly jo minter, clifton powell, verda bridges",united states,2021-09-01,1990,r,104 min,"Comedies, Cult Movies","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
s146,movie,House Party 2,"george jackson, doug mchenry","christopher reid, christopher martin, martin lawrence, bowlegged lou, paul anthony, b-fine, tisha campbell, kamron, iman, queen latifah",united states,2021-09-01,1991,r,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147,movie,House Party 3,eric meza,"christopher reid, christopher martin, tisha campbell, david edwards, angela means, ketty lester, bernie mac, michael colyar, chris tucker, khandi alexander",united states,2021-09-01,1994,r,94 min,"Comedies, Music & Musicals","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
s150,movie,I Got the Hook Up,michael martin,"master p, anthony johnson, gretchen palmer, frantz turner, richard keats, joe estevez, william knight, anthony boswell, tommy 'tiny' lister, helen martin, john witherspoon, mia x",united states,2021-09-01,1998,r,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151,movie,In Too Deep,michael rymer,"omar epps, ll cool j, nia long, stanley tucci, pam grier, hill harper, jake weber, david patrick kelly, veronica webb, ron canada, robert lasardo, gano grills, ivonne coll, don harvey, mya, nasir 'nas' jones, jermaine dupri",united states,2021-09-01,1999,r,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152,movie,Initial D,"andrew lau wai-keung, alan mak","jay chou, anne suzuki, edison chen, anthony wong chau-sang, shawn yue, chapman to, jordan chan, kenny bee","china, hong kong",2021-09-01,2005,tv-14,109 min,"Action & Adventure, International Movies","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
s153,movie,Janoskians: Untold and Untrue,brett weiner,"jai brooks, luke brooks, james yammouni, daniel sahyounie, beau brooks",united states,2021-09-01,2016,tv-ma,88 min,Comedies,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
s156,movie,Labyrinth,jim henson,"david bowie, jennifer connelly, frank oz, kevin clash, anthony asbury, dave goelz, brian henson, ron mueck, karen prell, shari weiser","united kingdom, united states",2021-09-01,1986,pg,101 min,"Action & Adventure, Children & Family Movies, Cult Movies","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157,movie,Letters to Juliet,gary winick,"amanda seyfried, christopher egan, gael garcía bernal, vanessa redgrave, franco nero, luisa ranieri, marina massironi, milena vukotic, marcia debonis, luisa de santis, lidia biondi, giordano formenti, chris egan",united states,2021-09-01,2010,pg,105 min,"Comedies, Dramas, Romantic Movies","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
s158,movie,Level 16,danishka esterhazy,"katie douglas, celina martin, peter outerbridge, sara canning, alexis whelan, amalia williamson, josette halpert, kiana madeira",canada,2021-09-01,2018,tv-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159,movie,Love Don't Cost a Thing,troy byer,"nick cannon, christina milian, kenan thompson, kal penn, steve harvey, al thompson, ashley monique clark, elimu nelson, nichole robinson, melissa schuman",united states,2021-09-01,2003,pg-13,101 min,"Comedies, Romantic Movies",A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160,movie,Love in a Puff,pang ho-cheung,"miriam chin wah yeung, shawn yue, singh hartihan bitto, isabel chan, cheung tat-ming, matt chow, chui tien-you, queenie chu, charmaine fong, vincent kok",hong kong,2021-09-01,2010,tv-ma,103 min,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s162,movie,Mars Attacks!,tim burton,"jack nicholson, glenn close, annette bening, pierce brosnan, danny devito, martin short, sarah jessica parker, michael j. fox, rod steiger, tom jones, lukas haas, natalie portman",united states,2021-09-01,1996,pg-13,106 min,"Comedies, Cult Movies, Sci-Fi & Fantasy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
s163,movie,Marshall,reginald hudlin,"chadwick boseman, josh gad, kate hudson, sterling k. brown, dan stevens, james cromwell, keesha sharp, roger guenveur smith, derrick baskin, barrett doss","united states, china, hong kong",2021-09-01,2017,pg-13,118 min,Dramas,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
s164,movie,My Boss's Daughter,david zucker,"ashton kutcher, tara reid, jeffrey tambor, andy richter, michael madsen, jon abrahams, david koechner, carmen electra, kenan thompson, terence stamp, molly shannon",united states,2021-09-01,2003,r,86 min,"Comedies, Romantic Movies","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165,movie,Mystery Men,kinka usher,"ben stiller, hank azaria, william h. macy, janeane garofalo, kel mitchell, paul reubens, wes studi, greg kinnear, geoffrey rush, lena olin, eddie izzard, artie lange, pras, claire forlani, tom waits",united states,2021-09-01,1999,pg-13,121 min,"Action & Adventure, Comedies",A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
s167,movie,Once Upon a Time in America,sergio leone,"robert de niro, james woods, elizabeth mcgovern, treat williams, tuesday weld, burt young, joe pesci, danny aiello, william forsythe, james hayden","italy, united states",2021-09-01,1984,r,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
s168,movie,Open Season 2,"matthew o'callaghan, todd wilderman","joel mchale, mike epps, jane krakowski, billy connolly, crispin glover, steve schirripa, georgia engel, diedrich bader, cody cameron, fred stoller, olivia hack","united states, canada",2021-09-01,2008,pg,76 min,"Children & Family Movies, Comedies",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169,movie,Osmosis Jones,"bobby farrelly, peter farrelly","chris rock, laurence fishburne, david hyde pierce, brandy norwood, william shatner, ron howard, kid rock, ben stein",united states,2021-09-01,2001,pg,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
s170,movie,Poseidon,wolfgang petersen,"josh lucas, kurt russell, jacinda barrett, richard dreyfuss, emmy rossum, mía maestro, mike vogel, kevin dillon, freddy rodríguez",united states,2021-09-01,2006,pg-13,98 min,"Action & Adventure, Dramas","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
